default_code,name,length,width,height,thickness,dimensional_uom,uom_id,uom_po_id
"70809","15x15 mm x 3 mm",6.2,0.015,0.015,0.003,"ML",29,30
"70811","20x20 mm x 3 mm",6.2,0.020,0.020,0.003,"ML",29,30
"70812","25x25 mm x 3 mm",6.2,0.025,0.025,0.003,"ML",29,30
"70813","30x30 mm x 3 mm",6.2,0.030,0.030,0.003,"ML",29,30
"70814","35x35 mm x 3,5 mm",6.2,0.035,0.035,0.0035,"ML",29,30
"70815","40x40 mm x 4 mm",6.2,0.040,0.040,0.004,"ML",29,30
"70817","45x45 mm x 4,5 mm",6.2,0.045,0.045,0.0045,"ML",29,30
"70818","50x50 mm x 5 mm",6.2,0.050,0.050,0.005,"ML",29,30
"70820","60x60 mm x 6 mm",6.2,0.060,0.060,0.006,"ML",29,30
"70821","70x70 mm x 7 mm",6.2,0.070,0.070,0.007,"ML",29,30
"70822","80x80 mm x 8 mm",6.2,0.080,0.080,0.008,"ML",29,30
"70823","100x100 mm x 10 mm",6.2,0.100,0.100,0.010,"ML",29,30
"70824","120x120 mm x 12 mm",6.2,0.120,0.120,0.012,"ML",29,30
